term,description,caseSensitive,translatable,forbidden,translation[de],notes
Accounts Receivable,Amounts owed to the company.,false,true,false,Debitorenbuchhaltung,Finance
Active,Subscription/account state.,false,true,false,Aktiv,Status
Inactive,Subscription/account state.,false,true,false,Inaktiv,Status
Expired,Subscription ended.,false,true,false,Abgelaufen,Status
Cancelled,Cancelled state.,false,true,false,Storniert,Status
Pending,Pending state.,false,true,false,Ausstehend,Status
Paid,Invoice state.,false,true,false,Bezahlt,Status
Unpaid,Invoice not yet paid.,false,true,false,Unbezahlt,Status
Overdue,Past due date.,false,true,false,Überfällig,Status
Lapsed,Subscription that has expired without renewal.,false,true,false,Abgelaufen,Status
Trial,Free trial period.,false,true,false,Testphase,Commerce
Complimentary,Free / comp copy.,false,true,false,Gratisexemplar,Commerce
Comp Rep,Complimentary subscription for a company rep. Internal term.,false,false,false,Comp Rep,Internal
Promo Code,Promotional code.,false,true,false,Aktionscode,Commerce
Offer Code,Offer code.,false,true,false,Angebotscode,Commerce
Discount,Price reduction.,false,true,false,Rabatt,Commerce
Channel,Sales/marketing channel.,false,true,false,Kanal,Marketing
Effort,Marketing effort (channel + timing combo).,false,true,false,Aufwand,Marketing
Journey,Customer/renewal journey.,false,true,false,Journey,Marketing
Renewal Journey,Full renewal journey for a subscription.,false,true,false,Verlängerungsjourney,Marketing
Cadence,Frequency/rhythm of marketing touches.,false,true,false,Kadenz,Marketing
Hard Bounce,Permanently failed email delivery.,false,true,false,Hard Bounce,Email
Soft Bounce,Temporarily failed email delivery.,false,true,false,Soft Bounce,Email
Grace Period,Period after expiry before cancellation.,false,true,false,Kulanzzeitraum,Commerce
Digital,Digital product / digital channel.,false,true,false,Digital,Product
Print,Printed product.,false,true,false,Print,Product
Print and Digital,Combined offering.,false,true,false,Print und Digital,Product
Shop App,Shop-side storefront app. Keep English.,true,false,false,Shop App,Product
Gift Shop,Gift storefront.,false,true,false,Geschenkeshop,Product
Donor Gift,Gift given by a donor.,false,true,false,Spendergeschenk,Commerce
Audit,"Act of auditing. In ""Circulation Audit"" → ""Auflagenprüfung""; elsewhere ""Audit"".",false,true,false,Audit,Operations
Audit Log,Record of changes.,false,true,false,Audit-Log,Operations
Segmentation,Audience segmentation.,false,true,false,Segmentierung,Marketing
Segment,An audience segment.,false,true,false,Segment,Marketing
Cohort,Analytics cohort.,false,true,false,Kohorte,Analytics
